Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,396.1839833214035,395.0,0.0029974261301354494
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3565.6447715759277,1869.7410305628473,1857.0,0.006861082694048088
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,127.0,0.521989362918264
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3055.7511615753174,1615.5324724000848,1540.0,0.04904706000005504
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,158.0,0.223371196776073
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,497.3479981566328,455.0,0.09307252342117099
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1236.0,0.10127750376657582
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1652.0,0.17604177078965635
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,405.5044136047363,294.2462445213999,228.0,0.2905537040412276
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,497.3479981566328,449.0,0.1076792831996276
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5613.892818450928,2890.899508613131,3070.0,0.058338922275853154
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,396.1839833214035,366.0,0.08246989978525547
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1349.0,0.009028165052251826
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1285.0,0.05928326432333674
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3565.6447715759277,1869.7410305628473,1986.0,0.058539259535323615
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,396.1839833214035,320.0,0.23807494787938593
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1650.0,0.17504303354212866
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1474.3470220565796,827.1200304806787,869.0,0.04819329058610049
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,39259.08307647705,19664.78162216699,15424.0,0.2749469412712
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,4590.344056129456,2380.6070672571586,2234.0,0.06562536582683914
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3055.7511615753174,1615.5324724000848,1496.0,0.07990138529417432
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1250.0,0.08894319572439018
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3055.7511615753174,1615.5324724000848,1736.0,0.06939373709672536
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,497.3479981566328,500.0,0.005304003686734404
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,150.0,0.28861766060413024
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1474.3470220565796,827.1200304806787,880.0,0.06009087445377423
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,6639.323947906494,3402.1304081605886,3769.0,0.09733870836811129
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,151.0,0.2800837688120499
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,497.3479981566328,503.0,0.011236584181644537
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1611.0,0.155072008283372
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1474.3470220565796,827.1200304806787,783.0,0.05634742079269307
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,161.0,0.20057546019018344
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1286.0,0.058459560385293714
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5102.182312011719,2635.785132815222,2596.0,0.015325551931903665
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,6639.323947906494,3402.1304081605886,3721.0,0.0856945960331662
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,396.1839833214035,416.0,0.04763465547739543
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1200.0,0.1343158288795731
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3055.7511615753174,1615.5324724000848,1656.0,0.024436912801881178
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1474.3470220565796,827.1200304806787,994.0,0.1678872932789953
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1319.0,0.03197800959475945
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,156.0,0.23905544288858677
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1474.3470220565796,827.1200304806787,747.0,0.10725573022848552
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5613.892818450928,2890.899508613131,3158.0,0.08457900297240949
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5613.892818450928,2890.899508613131,2600.0,0.1118844263896657
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,405.5044136047363,294.2462445213999,263.0,0.11880701338935319
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,157.0,0.23116337000394607
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1474.3470220565796,827.1200304806787,895.0,0.07584354136237019
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,4590.344056129456,2380.6070672571586,2505.0,0.0496578573823718
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3565.6447715759277,1869.7410305628473,2307.0,0.1895357474803436
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,396.1839833214035,344.0,0.15169762593431252
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,405.5044136047363,294.2462445213999,365.0,0.19384590542082222
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3565.6447715759277,1869.7410305628473,1758.0,0.06356145083210882
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1408.0,0.033253554932182024
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,405.5044136047363,294.2462445213999,264.0,0.11456910803560563
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,161.0,0.20057546019018344
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1361.1789946554877,1649.0,0.17454275642481037
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,497.3479981566328,422.0,0.17854975866500664
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,405.5044136047363,294.2462445213999,239.0,0.23115583481757276
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,193.29264909061953,158.0,0.223371196776073
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3565.6447715759277,1869.7410305628473,1693.0,0.10439517457935457
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3055.7511615753174,1615.5324724000848,1545.0,0.04565208569584775
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,497.3479981566328,483.0,0.029706000324291507
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,396.1839833214035,359.0,0.10357655521282312
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1474.3470220565796,827.1200304806787,813.0,0.017367811169346468
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,609.9719657897949,354.79162685498824,395.0,0.10179334973420699
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,3565.6447715759277,1674.3949527428483,1857.0,0.09833335878144948
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,203.0108642578125,173.0978947080175,127.0,0.3629755488820275
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,3055.7511615753174,1446.7454976717177,1540.0,0.06055487164174178
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,203.0108642578125,173.0978947080175,158.0,0.09555629562036387
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,812.8875761032104,445.3862670059398,455.0,0.021129083503428948
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,2545.566870689392,1218.966263870586,1236.0,0.013781339910529053
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,2545.566870689392,1218.966263870586,1652.0,0.2621269589161101
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,405.5044136047363,263.5040995714029,228.0,0.15571973496229338
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,812.8875761032104,445.3862670059398,449.0,0.008048403104811072
"CPU:AMD EPYC 7352 24-Core Processor,Memory:257497MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,5613.892818450928,2588.8652315938484,3070.0,0.15672142293359986
