Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,205.55018278053836,135.0,0.5225939465225063
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,205.55018278053836,134.0,0.5339565879144654
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3565.6447715759277,1988.309500607474,1851.0,0.07418125370474019
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,421.3077453776193,341.0,0.23550658468510063
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,528.8870135909992,376.0,0.4066143978484022
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,6639.323947906494,3617.874402004737,2404.0,0.5049394351101235
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,4590.344056129456,2531.571790782072,1972.0,0.28375851459537127
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1729.362572669983,1014.772300160274,785.0,0.29270356708315154
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5613.892818450928,3074.224111425018,2278.0,0.34952770475198325
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,421.3077453776193,400.0,0.053269363444048284
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,6639.323947906494,3617.874402004737,2957.0,0.2234948941510778
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,205.55018278053836,167.0,0.23083941784753512
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,203.0108642578125,213.4273000375591,135.0,0.5809429632411784
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,203.0108642578125,213.4273000375591,134.0,0.5927410450564111
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,3565.6447715759277,2064.505721246477,1851.0,0.11534614870150035
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,609.9719657897949,437.4531482507164,341.0,0.28285380718685166
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,812.8875761032104,549.1550812979488,376.0,0.46051883323922543
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,6639.323947906494,3756.5189923439834,2404.0,0.5626118936539033
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,4590.344056129456,2628.5869700964463,1972.0,0.3329548529900843
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,1729.362572669983,1053.6605185476717,785.0,0.34224269878684294
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,5613.892818450928,3192.0348740936656,2278.0,0.4012444574599059
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,609.9719657897949,437.4531482507164,400.0,0.09363287062679106
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,6639.323947906494,3756.5189923439834,2957.0,0.27038180329522604
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,203.0108642578125,213.4273000375591,167.0,0.2780077846560425
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,203.0108642578125,177.72644241000108,135.0,0.316492166000008
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,203.0108642578125,177.72644241000108,134.0,0.3263167344029932
