Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,465.5034065210274,386.0,0.2059673744068067
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5102.182312011719,3096.9625472910393,2715.0,0.14068602110167194
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,4590.344056129456,2797.13654778727,2574.0,0.08668863550398992
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,227.11263048249523,139.0,0.633903816420829
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1729.362572669983,1121.223067343304,804.0,0.394556053909582
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1474.3470220565796,971.8393675651935,820.0,0.18516996044535788
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5102.182312011719,3096.9625472910393,2448.0,0.26509907977575137
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,584.3678621922188,411.0,0.42181961603946183
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5613.892818450928,3396.7137133801316,2733.0,0.24285170632277042
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,227.11263048249523,124.0,0.8315534716330261
